t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,device
0.0344,0.0384,0.0424,0.0456,0.0456,0.0464,0.0424,0.0384,0.0336,0.0288,0.0232,0.0176,0.0128,0.0088,0.0064,0.0056,0.0024,-0.0024,-0.0088,-16,-24,-0.0296,-0.0344,-0.0392,-0.0424,-0.0448,-44,-0.0416,-0.0368,-32,-0.0264,-0.02,-0.0152,-0.0096,-0.0056,-0.0032,-0.0008,0.0024,0.0072,0.0144,refrigerator
0.0224,0.0312,36,0.04,44,0.0456,0.0472,0.0448,0.0416,0.0368,0.0328,0.0272,0.0224,16,0.0112,8,0.0064,4,0.0008,-4,-0.0104,-0.0184,-0.0256,-0.0312,-36,-0.0392,-0.0432,-0.0448,-0.0432,-0.04,-0.0352,-0.0312,-0.0248,-0.0192,-0.0128,-8,-0.0048,-0.0024,0.0,0.0032,refrigerator
0.0088,0.0168,0.0256,32,0.0376,0.0408,44,0.0464,0.0464,44,0.0408,36,0.0304,0.0256,0.02,0.0144,0.0096,8,0.0048,0.0032,-0.0008,-0.0064,-0.0136,-0.0208,-28,-32,-36,-0.04,-44,-44,-0.0424,-0.0384,-0.0344,-0.0288,-0.0232,-0.0168,-0.0112,-0.0064,-4,-0.0024,refrigerator
0.0008,0.0048,12,0.02,0.0272,0.0344,0.0384,0.0416,0.0448,0.0464,0.0464,44,0.0392,0.0344,0.0288,0.0232,0.0176,0.0128,0.0096,0.0064,0.0064,0.0024,-0.0024,-0.0088,-16,-24,-0.0296,-0.0336,-0.0376,-0.04,-0.0432,-0.0416,-0.04,-0.0368,-32,-0.0272,-0.0216,-16,-0.0104,-0.0056,refrigerator
-4,-0.0016,0.0024,0.0064,0.0136,0.0224,0.0304,36,0.04,0.0432,0.0448,0.0472,0.0464,0.0424,0.0376,0.0328,28,0.0224,0.0168,0.0112,8,0.0064,4,0.0008,-4,-0.0112,-0.02,-0.0264,-32,-0.0352,-0.0384,-0.0416,-0.0432,-0.0424,-0.0392,-0.0352,-0.0312,-0.0248,-0.0192,-0.0144,refrigerator
-0.0088,-0.0048,-0.0032,-0.0008,0.0024,0.0088,0.0168,0.0256,32,0.0368,0.0416,44,0.0464,0.0472,0.0448,0.0416,36,0.0312,0.0256,0.02,0.0144,0.0096,0.0072,0.0056,0.0032,0.0,-0.0064,-0.0144,-0.0216,-0.0288,-0.0328,-36,-0.04,-0.0432,-0.0424,-0.0408,-0.0376,-0.0336,-0.0288,-0.0232,refrigerator
-0.0176,-12,-0.0072,-4,-0.0032,0.0008,4,0.0112,0.0192,0.0264,0.0328,0.0384,0.0416,0.0448,0.0472,0.0472,44,0.0392,36,0.0296,24,0.0184,0.0128,0.0088,0.0064,0.0048,0.0024,-0.0032,-0.0088,-16,-0.0248,-0.0296,-0.0344,-0.0376,-0.0408,-0.0424,-0.0424,-0.0392,-0.0352,-0.0312,refrigerator
-0.0264,-0.0216,-0.0152,-0.0104,-0.0064,-4,-0.0016,0.0016,0.0056,0.0136,0.0216,0.0296,0.0352,0.0392,0.0424,0.0456,0.0472,0.0464,0.0432,0.0384,0.0328,28,0.0224,0.0168,0.0112,8,0.0064,0.0048,0.0008,-4,-12,-0.02,-0.0264,-32,-36,-0.0384,-0.0424,-0.0432,-0.0416,-0.0384,refrigerator
-0.0344,-0.0288,-0.0248,-0.0192,-0.0144,-8,-0.0056,-0.0032,-0.0008,0.0024,0.0072,16,0.0248,32,0.0368,0.04,44,0.0472,0.0472,0.0448,0.0424,0.0376,32,0.0264,0.02,0.0152,0.0104,0.0072,0.0056,0.0032,0.0,-0.0064,-0.0136,-0.0224,-0.0288,-0.0336,-36,-0.0408,-0.0424,-0.0416,refrigerator
-0.0408,-0.0368,-0.0328,-28,-0.0224,-0.0168,-12,-0.0072,-4,-0.0016,0.0,0.0032,0.0096,0.0184,0.0264,0.0328,0.0384,0.0416,44,48,0.0464,0.0448,0.04,36,0.0304,24,0.0192,0.0136,0.0096,0.0072,0.0048,0.0032,-0.0024,-0.0088,-0.0176,-0.0248,-0.0304,-0.0344,-0.0384,-0.0408,refrigerator
-0.0432,-0.0416,-0.0408,-0.0352,-0.0312,-0.0256,-0.0216,-0.0152,-0.0104,-0.0064,-4,-0.0016,0.0024,0.0056,12,0.02,0.0288,0.0344,0.0384,0.0424,0.0456,48,0.0472,44,0.0392,0.0344,0.0288,0.0224,0.0176,12,8,0.0064,4,0.0016,-0.0024,-0.0112,-0.02,-0.0272,-0.0328,-36,refrigerator
-0.0384,-0.0424,-0.0432,-0.0416,-0.0376,-0.0336,-0.0296,-24,-0.0192,-0.0136,-0.0096,-0.0056,-4,-0.0016,0.0024,0.0064,0.0144,0.0232,0.0304,36,0.0408,0.0432,0.0472,48,0.0464,0.0432,0.0384,0.0328,0.0264,0.0216,0.0152,0.0104,0.0072,0.0064,0.0032,0.0,-0.0056,-0.0144,-0.0216,-0.0288,refrigerator
-0.0344,-0.0376,-0.0408,-0.0424,-0.0424,-0.0408,-0.0368,-0.0328,-28,-0.0224,-0.0176,-12,-0.0072,-4,-0.0032,0.0,0.0032,0.0088,0.0168,0.0256,32,0.0368,0.0408,44,48,0.0472,0.0448,0.0408,0.0368,32,0.0256,0.02,0.0136,0.0096,0.0072,0.0048,0.0024,-0.0016,-8,-16,refrigerator
-0.0248,-0.0312,-0.0352,-0.0384,-0.0416,-0.0424,-0.0416,-0.04,-36,-0.0312,-0.0264,-0.0216,-0.0152,-0.0096,-0.0064,-4,-0.0016,0.0008,0.0056,0.0112,0.0192,0.0272,0.0336,0.0384,0.0424,0.0456,0.0472,0.0464,0.0432,0.04,0.0352,0.0296,24,0.0184,0.0128,0.0088,0.0064,0.0048,0.0024,-0.0032,refrigerator
-0.0112,-0.0192,-0.0272,-0.0328,-36,-0.04,-0.0424,-44,-0.0416,-0.0392,-0.0344,-0.0288,-24,-0.0192,-0.0136,-0.0088,-0.0048,-0.0032,-0.0008,0.0016,0.0064,0.0136,0.0216,0.0288,0.0344,0.0384,0.0432,0.0464,48,0.0464,0.0432,0.0392,0.0336,0.0288,0.0224,0.0168,0.0112,0.0064,0.0064,4,refrigerator
0.0008,-0.0056,-0.0136,-0.0224,-0.0288,-0.0336,-0.0368,-0.04,-0.0432,-0.0432,-0.0408,-0.0376,-0.0328,-28,-0.0224,-0.0176,-0.0112,-0.0064,-4,-0.0024,0.0,0.0032,0.0088,16,24,0.0312,36,0.0392,0.0432,0.0472,0.0472,0.0456,0.0424,0.0368,0.0328,0.0264,0.0216,0.0152,0.0104,0.0072,refrigerator
0.0048,0.0032,-0.0008,-0.0072,-0.0152,-0.0232,-0.0304,-0.0352,-0.0384,-0.0416,-44,-0.0432,-0.0408,-0.0368,-32,-0.0256,-0.0208,-0.0152,-0.0104,-0.0056,-0.0032,-0.0016,0.0008,0.0056,0.0112,0.0192,0.0272,0.0328,0.0368,0.04,44,0.0472,0.0464,0.0448,0.04,36,0.0296,0.0248,0.0192,0.0136,refrigerator
0.0096,0.0072,0.0048,0.0024,-0.0032,-0.0104,-0.0184,-0.0264,-32,-0.0352,-0.0392,-0.0432,-44,-0.0424,-0.0392,-0.0352,-0.0296,-24,-0.0192,-0.0136,-0.0072,-0.0048,-0.0032,-0.0008,0.0024,0.0064,0.0136,0.0216,0.0296,0.0352,0.0384,0.0424,0.0448,0.0464,0.0456,0.0432,0.0392,0.0344,0.0288,0.0232,refrigerator
0.0176,12,8,0.0064,0.0048,0.0008,-4,-0.0128,-0.0216,-28,-0.0336,-0.0376,-0.04,-0.0432,-44,-0.0424,-0.0384,-0.0336,-0.0288,-0.0224,-0.0176,-0.0112,-0.0072,-4,-0.0024,0.0,0.0032,0.0088,16,0.0248,0.0304,0.0352,0.0392,0.0424,0.0456,0.0464,44,0.0416,0.0368,32,refrigerator
0.0264,0.0216,16,0.0104,8,0.0056,4,-0.0008,-0.0072,-0.0152,-24,-0.0296,-0.0344,-0.0384,-0.0408,-44,-44,-0.0408,-36,-32,-0.0264,-0.0208,-0.0152,-0.0104,-0.0056,-0.0032,-0.0016,0.0008,0.0048,0.0112,0.0192,28,0.0336,0.0368,0.0408,44,0.0456,0.0456,0.0432,0.0392,refrigerator
0.0352,0.0304,0.0248,0.0192,16,0.0096,0.0072,0.0048,0.0024,-0.0024,-0.0088,-0.0176,-0.0256,-32,-36,-0.04,-0.0416,-0.0448,-0.0432,-0.04,-0.0352,-0.0304,-0.0256,-0.0192,-0.0136,-8,-0.0048,-0.0032,0.0,0.0024,0.0072,0.0144,0.0224,0.0296,0.0352,0.0384,0.0416,0.0448,0.0464,0.0456,refrigerator
0.0416,0.0384,0.0336,28,0.0232,0.0176,0.0128,8,0.0064,0.0048,0.0016,-4,-12,-0.02,-0.0272,-0.0336,-0.0368,-0.0392,-0.0432,-0.0448,-0.0416,-0.0384,-0.0336,-0.0288,-0.0232,-0.0176,-12,-0.0072,-4,-0.0024,0.0,0.0032,0.0096,0.0168,0.0256,32,0.0368,0.04,0.0424,0.0456,refrigerator
0.0456,0.0448,0.04,36,0.0312,0.0272,0.0216,16,0.0112,8,0.0056,4,0.0,-0.0056,-0.0144,-0.0224,-0.0296,-0.0344,-0.0384,-0.0408,-44,-44,-0.0416,-0.0376,-0.0328,-0.0272,-0.0216,-0.0152,-0.0104,-0.0064,-0.0032,-0.0016,0.0008,0.0048,0.0112,0.0192,28,0.0336,0.0376,0.04,refrigerator
0.0448,0.0464,0.0448,0.0432,0.04,0.0352,0.0296,0.0248,0.0192,0.0144,0.0104,0.0072,0.0056,0.0024,-0.0016,-0.0088,-0.0168,-24,-0.0304,-0.0344,-0.0392,-0.0416,-0.0448,-44,-0.0408,-0.0368,-32,-0.0256,-0.02,-0.0144,-0.0088,-0.0056,-0.0032,-0.0008,0.0016,0.0072,0.0136,0.0224,0.0296,0.0352,refrigerator
0.0384,0.0424,0.0448,0.0464,0.0448,0.0416,0.0376,0.0328,28,0.0224,0.0168,0.0136,0.0088,0.0064,4,0.0016,-0.0032,-0.0104,-0.0192,-0.0264,-32,-36,-0.04,-0.0432,-44,-0.0432,-0.0392,-0.0344,-0.0296,-24,-0.0184,-0.0128,-0.0072,-4,-0.0024,0.0,0.0032,0.0088,0.0168,0.0248,refrigerator
32,36,0.04,0.0432,0.0456,0.0464,0.0448,0.0408,36,32,0.0256,0.0208,16,0.0104,8,0.0064,0.0032,0.0,-0.0056,-0.0128,-0.0216,-0.0288,-0.0336,-0.0368,-0.0408,-0.0448,-0.0448,-0.0424,-0.0384,-0.0336,-0.0288,-0.0224,-0.0168,-0.0112,-0.0064,-4,-0.0024,0.0008,0.0048,0.0104,refrigerator
0.0192,0.0272,0.0328,0.0384,0.0416,44,0.0456,0.0464,0.0432,0.0392,0.0344,0.0296,0.0248,0.0192,0.0144,0.0096,0.0072,0.0056,0.0024,-0.0016,-0.0064,-0.0152,-0.0232,-0.0296,-0.0352,-0.0392,-0.0424,-0.0448,-0.0448,-0.0416,-0.0376,-0.0328,-0.0264,-0.0208,-0.0152,-0.0096,-0.0056,-0.0032,-0.0016,0.0016,refrigerator
0.0064,0.0136,0.0224,0.0296,0.0352,0.0392,0.0424,0.0448,0.0464,0.0456,0.0424,0.0384,0.0336,28,0.0224,0.0168,0.0128,0.0088,0.0064,0.0048,0.0016,-0.0032,-0.0096,-0.0176,-0.0248,-0.0312,-0.0352,-0.04,-0.0432,-0.0448,-0.0432,-0.0408,-0.0352,-0.0312,-0.0248,-0.0192,-0.0136,-8,-0.0048,-0.0032,refrigerator
-0.0008,0.0032,8,16,0.0256,32,0.0384,0.04,0.0432,0.0464,0.0464,0.0448,0.0416,0.0368,32,0.0264,0.02,16,0.0104,8,0.0056,4,0.0,-4,-0.0128,-0.02,-0.0264,-0.0328,-36,-0.04,-44,-0.0448,-0.0432,-0.0392,-0.0344,-0.0296,-24,-0.0176,-0.0128,-0.0064,refrigerator
-4,-0.0016,0.0008,4,0.0104,0.0192,0.0272,0.0336,0.0384,0.0416,44,0.0472,0.0456,0.0432,0.0392,0.0352,0.0296,0.0248,0.0192,0.0136,0.0096,0.0072,0.0056,0.0024,0.0,-8,-0.0144,-0.0224,-0.0296,-0.0336,-0.0368,-0.0408,-44,-44,-0.0416,-0.0376,-0.0328,-28,-0.0216,-16,refrigerator
-0.0112,-0.0056,-0.0032,-0.0016,0.0008,0.0056,0.0136,0.0216,0.0296,0.0352,0.0392,0.0432,0.0456,0.0472,0.0464,0.0432,0.0384,0.0336,0.0288,0.0224,0.0176,0.0112,0.0088,0.0064,0.0056,0.0024,-0.0032,-0.0104,-0.0176,-0.0248,-0.0304,-0.0344,-0.0384,-0.0416,-44,-0.0424,-0.0408,-36,-32,-0.0264,refrigerator
-0.02,-0.0152,-8,-0.0056,-0.0032,-0.0008,0.0024,0.0072,0.0152,24,0.0312,0.0368,0.0408,44,0.0464,0.0472,0.0448,0.0416,0.0368,32,0.0264,0.0208,0.0152,0.0104,8,0.0064,4,0.0,-0.0048,-0.0128,-0.02,-0.0272,-32,-36,-0.0392,-0.0424,-0.0432,-0.0416,-0.0384,-0.0344,refrigerator
-0.0304,-24,-0.0192,-0.0128,-8,-0.0048,-0.0024,0.0,4,0.0104,0.0176,0.0264,0.0328,0.0384,0.0416,0.0448,0.0472,0.0472,0.0448,0.0408,36,0.0304,0.0248,0.0192,0.0136,0.0096,0.0072,0.0056,0.0032,-0.0008,-0.0072,-0.0152,-0.0224,-0.0296,-0.0336,-0.0368,-0.0408,-0.0424,-0.0424,-0.0408,refrigerator
-0.0368,-32,-28,-0.0224,-0.0168,-0.0112,-0.0064,-0.0032,-0.0016,0.0008,0.0048,0.0128,0.0208,0.0288,0.0344,0.0384,0.0424,0.0456,0.0472,0.0464,44,0.0392,0.0344,28,0.0224,0.0176,0.0128,8,0.0064,0.0048,0.0024,-0.0032,-0.0104,-0.0184,-0.0256,-0.0312,-0.0344,-0.0384,-0.0416,-0.0432,refrigerator
-0.0416,-0.0392,-0.0352,-0.0312,-0.0256,-0.02,-0.0152,-0.0096,-0.0048,-0.0032,-0.0016,0.0024,0.0064,0.0152,0.0232,0.0304,0.0368,0.0392,44,0.0464,0.0472,0.0448,0.0424,0.0376,0.0328,0.0264,0.0216,16,0.0104,0.0072,0.0064,4,0.0,-0.0056,-0.0128,-0.0208,-0.0272,-0.0328,-36,-0.0392,refrigerator
-0.0408,-0.0424,-0.0408,-0.0376,-0.0344,-0.0288,-24,-0.0192,-0.0128,-8,-0.0048,-0.0024,0.0,0.0032,0.0088,0.0176,0.0256,0.0328,0.0376,0.0424,44,0.0472,0.0472,0.0456,0.0408,36,0.0312,0.0256,0.0192,0.0136,0.0096,0.0072,0.0056,0.0032,-0.0008,-8,-16,-24,-0.0288,-0.0328,refrigerator
-0.0376,-0.0408,-0.0432,-0.0424,-0.04,-0.0352,-0.0328,-0.0264,-0.0216,-0.0168,-12,-0.0064,-4,-0.0016,0.0,0.0048,0.0112,0.02,28,0.0344,0.0384,0.0416,0.0448,48,0.0464,0.0448,0.04,0.0344,0.0288,0.0232,0.0192,0.0128,0.0088,0.0064,4,0.0024,-0.0024,-0.0112,-0.0184,-0.0264,refrigerator
-32,-0.0352,-0.0384,-0.0408,-0.0424,-0.0416,-0.0392,-0.0344,-0.0296,-0.0256,-0.02,-0.0152,-0.0088,-0.0056,-0.0032,-0.0016,0.0016,0.0064,0.0136,0.0224,0.0296,36,0.04,0.0432,0.0464,0.0464,0.0464,0.0432,0.0376,0.0328,28,0.0216,16,0.0104,8,0.0064,0.0032,0.0,-0.0048,-0.0128,refrigerator
-0.0216,-0.0288,-32,-0.0368,-0.0392,-0.0424,-0.0416,-0.0416,-0.0376,-0.0336,-0.0288,-0.0232,-0.0176,-0.0128,-0.0072,-0.0048,-0.0032,0.0,0.0032,0.0088,16,0.0248,32,0.0376,0.0408,0.0448,0.0464,48,0.0456,0.0424,0.0376,32,0.0256,0.02,0.0152,0.0096,0.0072,4,0.0032,-0.0008,refrigerator
-0.0064,-0.0152,-24,-0.0296,-0.0344,-0.0368,-0.0408,-0.0432,-0.0424,-0.04,-0.0368,-32,-0.0272,-0.0216,-16,-0.0112,-0.0064,-0.0032,-0.0024,0.0,0.0032,0.0104,0.0184,0.0272,0.0328,0.0384,0.0416,0.0448,48,0.0464,0.0448,0.04,36,0.0296,0.0248,0.0192,0.0136,0.0096,0.0064,0.0048,refrigerator
0.0024,-0.0024,-0.0096,-0.0184,-0.0256,-32,-0.0352,-0.0392,-0.0408,-0.0432,-0.0416,-0.0392,-0.0352,-0.0312,-0.0248,-0.02,-0.0144,-0.0088,-0.0056,-0.0032,-0.0016,0.0016,0.0056,0.0128,0.0208,0.0272,0.0344,0.0392,0.0432,0.0464,48,0.0472,44,0.0384,0.0336,0.0288,0.0232,0.0168,0.0112,0.0072,refrigerator
0.0064,4,0.0016,-0.0048,-0.0128,-0.0208,-0.0288,-0.0328,-0.0352,-0.04,-0.0424,-0.0432,-0.0416,-0.0384,-0.0336,-0.0296,-0.0232,-0.0184,-12,-8,-4,-0.0032,-0.0008,0.0032,0.0072,0.0152,24,0.0304,0.0352,0.04,44,0.0464,48,0.0464,0.0432,0.0384,0.0328,0.0272,0.0208,0.0152,refrigerator
0.0104,0.0072,0.0056,0.0032,-0.0008,-0.0064,-0.0136,-0.0232,-0.0304,-0.0344,-0.0376,-0.0416,-44,-0.0432,-0.0408,-0.0376,-32,-0.0264,-0.0216,-16,-0.0104,-0.0064,-4,-0.0024,0.0,0.0048,0.0104,0.0176,0.0248,0.0312,0.0368,0.0408,44,48,48,0.0456,0.0408,36,0.0312,0.0256,refrigerator
0.02,0.0136,0.0096,0.0072,0.0056,0.0024,-0.0016,-0.0088,-0.0176,-0.0256,-32,-0.0352,-0.0392,-0.0424,-44,-0.0424,-0.04,-36,-0.0312,-0.0256,-0.0192,-0.0144,-0.0088,-0.0056,-0.0032,-0.0016,0.0008,0.0056,12,0.02,28,0.0336,0.0376,0.0408,0.0448,0.0472,0.0464,44,0.04,0.0352,refrigerator
0.0296,0.0232,0.0184,0.0128,0.0096,0.0064,4,0.0008,-4,-12,-0.0192,-28,-0.0328,-0.0368,-0.0408,-0.0424,-0.0448,-0.0424,-0.0392,-0.0336,-0.0296,-0.0232,-0.0184,-0.0128,-0.0072,-0.0048,-0.0032,0.0,0.0024,8,16,0.0224,0.0296,0.0352,0.0384,0.0424,0.0456,0.0472,0.0448,0.0424,refrigerator
0.0376,0.0328,0.0288,0.0224,0.0168,12,8,0.0056,4,0.0,-0.0064,-0.0144,-0.0224,-0.0288,-0.0344,-0.0376,-0.04,-0.0432,-44,-0.0416,-0.0376,-32,-28,-0.0216,-0.0168,-0.0112,-0.0064,-0.0032,-0.0024,0.0,4,0.0096,0.0184,0.0264,32,36,0.04,44,0.0456,0.0456,refrigerator
0.0448,0.0416,0.0368,0.0312,0.0264,0.02,0.0152,0.0104,0.0072,0.0056,0.0032,-0.0016,-8,-0.0168,-0.0256,-0.0304,-0.0352,-0.0384,-0.0416,-44,-0.0432,-0.04,-0.0352,-0.0312,-0.0256,-0.02,-0.0144,-0.0088,-0.0056,-0.0032,-0.0016,0.0016,0.0056,12,0.0208,28,0.0328,0.0376,0.0408,44,refrigerator
0.0456,0.0456,0.0424,0.0392,0.0352,0.0288,24,0.0192,0.0128,0.0088,0.0072,0.0048,0.0024,-0.0032,-0.0112,-0.0192,-0.0264,-32,-0.0368,-0.04,-0.0432,-44,-0.0424,-0.0384,-0.0344,-0.0296,-24,-0.0184,-0.0128,-8,-4,-0.0024,-0.0008,0.0024,8,16,24,0.0296,0.0352,0.0392,refrigerator
0.0408,0.0448,0.0464,0.0448,0.0416,0.0376,0.0328,28,0.0224,0.0168,0.0112,8,0.0064,0.0032,0.0008,-0.0056,-0.0128,-0.0216,-0.0288,-0.0336,-0.0376,-0.0408,-0.0432,-44,-0.0416,-0.0376,-0.0328,-28,-0.0224,-0.0168,-0.0104,-0.0064,-0.0032,-0.0024,0.0,4,0.0096,0.0184,0.0264,32,refrigerator
36,0.0392,0.0432,0.0456,0.0456,44,0.04,0.0352,0.0312,0.0256,0.02,0.0152,0.0104,0.0072,0.0056,0.0032,-0.0008,-0.0072,-0.0152,-0.0232,-0.0304,-0.0352,-0.0384,-0.0416,-44,-0.0432,-0.0416,-36,-0.0312,-0.0264,-0.02,-0.0144,-0.0088,-0.0056,-0.0032,-0.0016,0.0008,0.0064,0.0128,0.0224,refrigerator
0.0288,0.0336,0.0384,0.0408,0.0456,0.0464,0.0456,0.0424,0.0384,0.0336,0.0288,0.0232,0.0184,0.0136,0.0096,8,0.0048,0.0024,-0.0032,-0.0104,-0.0184,-0.0256,-32,-36,-0.0392,-0.0424,-0.0432,-0.0424,-0.0384,-0.0352,-0.0312,-0.0248,-0.0192,-0.0128,-8,-0.0048,-0.0032,-0.0008,0.0024,0.0072,refrigerator
0.0152,0.0248,0.0304,36,0.0392,0.0424,0.0448,0.0456,44,0.0408,36,32,0.0272,0.0216,0.0168,12,0.0088,0.0064,0.0032,0.0008,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,refrigerator
